artist,firstName,gender,itemInSession,lastName,length,level,location,sessionId,song,userId,user
Foo Fighters,Theodore,M,1,Smith,262.73913999999996,free,"Houston-The Woodlands-Sugar Land, TX",226,All My Life,52,Theodore Smith
Havok,Noah,M,0,Chavez,227.68281000000002,free,"Ogden-Clearfield, UT",150,Ivory Tower,94,Noah Chavez
John Mayer,Noah,M,1,Chavez,250.38322000000002,free,"Ogden-Clearfield, UT",150,Half Of My Heart,94,Noah Chavez
The Killers,Lily,F,0,Burns,185.33831999999998,free,"New York-Newark-Jersey City, NY-NJ-PA",239,I Can't Stay,32,Lily Burns
Thrice,Anabelle,F,0,Simpson,134.60853,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",259,The Red Death,69,Anabelle Simpson
Alicia Keys,Anabelle,F,1,Simpson,229.0673,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",259,If I Ain't Got You,69,Anabelle Simpson
Euge Groove,Jahiem,M,0,Miles,265.482,free,"San Antonio-New Braunfels, TX",245,Tenderly,43,Jahiem Miles
Metallica / Marianne Faithfull,Katherine,F,0,Gay,279.11791,free,"San Antonio-New Braunfels, TX",56,The Memory Remains,57,Katherine Gay
Nana Caymmi,Katherine,F,1,Gay,174.41914,free,"San Antonio-New Braunfels, TX",56,Fim De Caso,57,Katherine Gay
Johnny Burnette,Katherine,F,2,Gay,134.84363000000002,free,"San Antonio-New Braunfels, TX",56,I've Got A Lot Of Things To Do,57,Katherine Gay
Arctic Monkeys,Katherine,F,3,Gay,177.94567,free,"San Antonio-New Braunfels, TX",56,Fake Tales Of San Francisco,57,Katherine Gay
DeGarmo & Key,Chloe,F,1,Cuevas,236.48608,free,"San Francisco-Oakland-Hayward, CA",224,I'm Accepted (The Pledge Album Version),49,Chloe Cuevas
Extrawelt,Ryan,M,1,Smith,338.23302,free,"San Jose-Sunnyvale-Santa Clara, CA",232,Stammgast,26,Ryan Smith
Powderfinger,Harper,M,0,Barrett,276.68852999999996,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,My Happiness,42,Harper Barrett
Radiohead,Harper,M,1,Barrett,247.06567,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Black Star,42,Harper Barrett
Kid Cudi Vs Crookers,Brantley,M,0,West,162.97751,free,"Portland-Vancouver-Hillsboro, OR-WA",242,Day 'N' Nite,28,Brantley West
Three Days Grace,Harper,M,2,Barrett,186.90567,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Just Like You,42,Harper Barrett
Monty Python,Harper,M,3,Barrett,15.855870000000001,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Comfy Chair (The Final Rip Off Remix),42,Harper Barrett
Rise Against,Harper,M,4,Barrett,241.55382999999998,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Long Forgotten Sons,42,Harper Barrett
Jimmy Eat World,Harper,M,5,Barrett,166.00771,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,The Middle,42,Harper Barrett
Rise Against,Harper,M,6,Barrett,165.14567,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Under The Knife,42,Harper Barrett
Chaka Khan,Harper,M,7,Barrett,280.86812000000003,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Ain't Nobody (Album Version),42,Harper Barrett
Paper Lace,Harper,M,8,Barrett,192.07791,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,The Night Chicago Died,42,Harper Barrett
Pixies,Harper,M,9,Barrett,113.78893000000001,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Break My Body,42,Harper Barrett
Wolfgang Gartner,Harper,M,10,Barrett,415.97342000000003,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Fire Power,42,Harper Barrett
No Doubt,Devin,M,0,Larson,269.73995,free,"Tampa-St. Petersburg-Clearwater, FL",59,Sometimes,60,Devin Larson
The Lonely Island / Julian Casablancas,Harper,M,11,Barrett,192.9922,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Boombox,42,Harper Barrett
Eminem,Harper,M,12,Barrett,284.18567,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,The Real Slim Shady,42,Harper Barrett
Martin Gore,Sara,F,0,Johnson,241.10975,paid,"Winston-Salem, NC",222,By This River,95,Sara Johnson
The Animals,Harper,M,13,Barrett,242.05016,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,For Miss Caulker (1999 Digital Remaster),42,Harper Barrett
Florence + The Machine,Sara,F,1,Johnson,168.64608,paid,"Winston-Salem, NC",222,You've Got The Love,95,Sara Johnson
Hot Water Music,Harper,M,14,Barrett,157.85751000000002,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,The Sense,42,Harper Barrett
Bill Withers,Sara,F,2,Johnson,383.73832000000004,paid,"Winston-Salem, NC",222,Make Love To Your Mind,95,Sara Johnson
311,Harper,M,15,Barrett,194.32443999999998,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Eons,42,Harper Barrett
Bloc Party,Harper,M,16,Barrett,215.11791000000002,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,The Pioneers,42,Harper Barrett
Nino Bravo,Sara,F,3,Johnson,218.48771000000002,paid,"Winston-Salem, NC",222,Amanecer,95,Sara Johnson
JosÃÂ© GonzÃÂ¡lez,Harper,M,17,Barrett,143.93424,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,The Nest,42,Harper Barrett
Taking Back Sunday,Sara,F,4,Johnson,249.99138,paid,"Winston-Salem, NC",222,This Photograph Is Proof {I Know You Know] (Album Version),95,Sara Johnson
Jack Johnson,Harper,M,18,Barrett,207.64688999999998,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Better Together,42,Harper Barrett
The Rolling Stones,Sara,F,5,Johnson,274.1024,paid,"Winston-Salem, NC",222,Stop Breaking Down,95,Sara Johnson
Euge Groove,Harper,M,19,Barrett,265.482,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Tenderly,42,Harper Barrett
School Of Seven Bells,Tegan,F,0,Levine,262.37342,free,"Portland-South Portland, ME",254,Chain,80,Tegan Levine
P!nk,Sara,F,6,Johnson,227.02975,paid,"Winston-Salem, NC",222,Glitter In The Air,95,Sara Johnson
Nancy Wilson,Harper,M,20,Barrett,122.77506000000001,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,I Believe In You,42,Harper Barrett
Enrique Iglesias,Harper,M,21,Barrett,235.17995,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Ring My Bells,42,Harper Barrett
Katie Melua,Sara,F,7,Johnson,242.83382999999998,paid,"Winston-Salem, NC",222,Scary Films,95,Sara Johnson
Harmonia,Harper,M,22,Barrett,655.77751,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Sehr kosmisch,42,Harper Barrett
The RH Factor,Sara,F,8,Johnson,233.35137999999998,paid,"Winston-Salem, NC",222,Hold On,95,Sara Johnson
Moose,Chloe,F,1,Cuevas,490.21342000000004,free,"San Francisco-Oakland-Hayward, CA",267,Do You Remember,49,Chloe Cuevas
KATAKLYSM,Sara,F,9,Johnson,162.92526,paid,"Winston-Salem, NC",222,In Shadows And Dust,95,Sara Johnson
Lily Allen,Sara,F,10,Johnson,159.84281000000001,paid,"Winston-Salem, NC",222,Everybody's Changing,95,Sara Johnson
Florence + The Machine,Sara,F,11,Johnson,258.55955,paid,"Winston-Salem, NC",222,Cosmic Love,95,Sara Johnson
Placebo,Harper,M,23,Barrett,254.45832000000001,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Taste In Men,42,Harper Barrett
DJ Dizzy,Chloe,F,2,Cuevas,221.1522,free,"San Francisco-Oakland-Hayward, CA",267,Sexy Bitch,49,Chloe Cuevas
Camera Obscura,Sara,F,12,Johnson,188.02893,paid,"Winston-Salem, NC",222,Anti-Western,95,Sara Johnson
Nick Cave & The Bad Seeds,Harper,M,24,Barrett,265.27302000000003,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Spell,42,Harper Barrett
Queens Of The Stone Age,Chloe,F,3,Cuevas,364.90404,free,"San Francisco-Oakland-Hayward, CA",267,God Is On The Radio,49,Chloe Cuevas
Linkin Park,Sara,F,13,Johnson,494.99383,paid,"Winston-Salem, NC",222,Bleed It Out [Live At Milton Keynes],95,Sara Johnson
Dwight Yoakam,Harper,M,25,Barrett,239.3073,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,You're The One,42,Harper Barrett
mewithoutYou,Chloe,F,4,Cuevas,311.562,free,"San Francisco-Oakland-Hayward, CA",267,Bullet To Binary (Pt. Two),49,Chloe Cuevas
The New Pornographers,Harper,M,27,Barrett,189.02159,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,All The Things That Go To Make Heaven And Earth,42,Harper Barrett
Edward Sharpe & The Magnetic Zeros,Sara,F,14,Johnson,306.31138,paid,"Winston-Salem, NC",222,Home,95,Sara Johnson
Diego Torres,Harper,M,28,Barrett,227.18649,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,SueÃÂ±os,42,Harper Barrett
Francisca Valenzuela,Harper,M,29,Barrett,174.70649,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,MuÃÂ©rdete la lengua,42,Harper Barrett
Pendulum,Sara,F,15,Johnson,315.71546,paid,"Winston-Salem, NC",222,The Other Side (album version),95,Sara Johnson
Local Natives,Harper,M,30,Barrett,330.89261,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Shape Shifter,42,Harper Barrett
Daft Punk,Sara,F,16,Johnson,416.522,paid,"Winston-Salem, NC",222,Emotion,95,Sara Johnson
Soda Stereo,Harper,M,31,Barrett,211.61751,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Danza Rota,42,Harper Barrett
The Cardigans,Harper,M,32,Barrett,198.21669,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Lovefool,42,Harper Barrett
ETERNAL FEATURING BEBE WINANS,Sara,F,17,Johnson,218.40934,paid,"Winston-Salem, NC",222,I Wanna Be The Only One,95,Sara Johnson
Kings Of Leon,Harper,M,34,Barrett,201.79546000000002,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Revelry,42,Harper Barrett
Julie Doiron,Sara,F,18,Johnson,165.92934,paid,"Winston-Salem, NC",222,Me and My Friend,95,Sara Johnson
Kinky,Aleena,F,2,Kirby,211.90485,paid,"Waterloo-Cedar Falls, IA",269,Cornman,44,Aleena Kirby
LU,Harper,M,35,Barrett,321.54077,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Una Confusion,42,Harper Barrett
Tub Ring,Sara,F,19,Johnson,233.69097999999997,paid,"Winston-Salem, NC",222,Invalid,95,Sara Johnson
Nickel Creek,Aleena,F,3,Kirby,301.40036000000003,paid,"Waterloo-Cedar Falls, IA",269,The Lighthouse's Tale,44,Aleena Kirby
Massive Attack,Sara,F,20,Johnson,288.65261,paid,"Winston-Salem, NC",222,One Love,95,Sara Johnson
Cut Copy,Harper,M,36,Barrett,283.76771,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Strangers In The Wind,42,Harper Barrett
Straylight Run,Aleena,F,4,Kirby,241.44933999999998,paid,"Waterloo-Cedar Falls, IA",269,Existentialism On Prom Night (Album Version),44,Aleena Kirby
Albert Hammond,Sara,F,21,Johnson,177.78893,paid,"Winston-Salem, NC",222,Echame A Mi La Culpa,95,Sara Johnson
Hercules And Love Affair,Harper,M,37,Barrett,376.29342,paid,"New York-Newark-Jersey City, NY-NJ-PA",129,Blind (Full Album Version),42,Harper Barrett
Left Lane Cruiser,Aleena,F,7,Kirby,183.27465,paid,"Waterloo-Cedar Falls, IA",269,Amerika,44,Aleena Kirby
UB40,Sara,F,22,Johnson,185.10322,paid,"Winston-Salem, NC",222,Come Back Darling,95,Sara Johnson
Amon Amarth,Aleena,F,8,Kirby,357.22404,paid,"Waterloo-Cedar Falls, IA",269,Fate Of Norns,44,Aleena Kirby
Queensryche,Sara,F,23,Johnson,347.81995,paid,"Winston-Salem, NC",222,Silent Lucidity (2002 Digital Remaster),95,Sara Johnson
Winds Of Plague,Aleena,F,9,Kirby,148.08771000000002,paid,"Waterloo-Cedar Falls, IA",269,Reloaded,44,Aleena Kirby
Jackson 5,Sara,F,24,Johnson,174.10567,paid,"Winston-Salem, NC",222,Ben,95,Sara Johnson
Feist,Aleena,F,10,Kirby,184.94648999999998,paid,"Waterloo-Cedar Falls, IA",269,My Moon My Man,44,Aleena Kirby
JosÃÂ© Gonzalez,Sara,F,25,Johnson,158.48443999999998,paid,"Winston-Salem, NC",222,Heartbeats,95,Sara Johnson
Flobots,Aleena,F,11,Kirby,205.68771,paid,"Waterloo-Cedar Falls, IA",269,Handlebars (UK Radio Edit),44,Aleena Kirby
Teriyaki Boyz,Sara,F,26,Johnson,253.77913999999998,paid,"Winston-Salem, NC",222,Heartbreaker,95,Sara Johnson
Dwight Yoakam,Aleena,F,12,Kirby,239.3073,paid,"Waterloo-Cedar Falls, IA",269,You're The One,44,Aleena Kirby
Young Money featuring Lloyd,Sara,F,27,Johnson,196.33587,paid,"Winston-Salem, NC",222,BedRock (Radio Edit) (feat.Lloyd),95,Sara Johnson
The Pussycat Dolls,Aleena,F,13,Kirby,245.18485,paid,"Waterloo-Cedar Falls, IA",269,When I Grow Up,44,Aleena Kirby
Koopsta Knicca,Sara,F,28,Johnson,206.78485,paid,"Winston-Salem, NC",222,Top Secret,95,Sara Johnson
The Knack,Sara,F,29,Johnson,141.58321999999998,paid,"Winston-Salem, NC",222,Let Me Out,95,Sara Johnson
The Prodigy,Aleena,F,14,Kirby,215.77097999999998,paid,"Waterloo-Cedar Falls, IA",269,Omen,44,Aleena Kirby
ZZ Top,Sara,F,30,Johnson,187.8722,paid,"Winston-Salem, NC",222,Avalon Hideaway (LP Version),95,Sara Johnson
Caifanes,Aleena,F,15,Kirby,263.33995,paid,"Waterloo-Cedar Falls, IA",269,Cuentame Tu Vida,44,Aleena Kirby
Britt Nicole,Sara,F,31,Johnson,232.85506,paid,"Winston-Salem, NC",222,Like A Star,95,Sara Johnson
Jimmy Buffett,Aleena,F,19,Kirby,209.00526000000002,paid,"Waterloo-Cedar Falls, IA",269,He Went To Paris,44,Aleena Kirby
Counting Crows,Aleena,F,20,Kirby,272.79627999999997,paid,"Waterloo-Cedar Falls, IA",269,Mr. Jones,44,Aleena Kirby
8Ball & MJG,Aleena,F,21,Kirby,48.14322,paid,"Waterloo-Cedar Falls, IA",269,Intro (Explicit Album Version),44,Aleena Kirby
SinÃÂ©ad O'Connor,Aleena,F,22,Kirby,282.51383,paid,"Waterloo-Cedar Falls, IA",269,I Want Your (Hands On Me),44,Aleena Kirby
Vince Guaraldi Trio,Aleena,F,23,Kirby,368.29995,paid,"Waterloo-Cedar Falls, IA",269,Christmastime Is Here,44,Aleena Kirby
B*Witched,Aleena,F,24,Kirby,172.06812,paid,"Waterloo-Cedar Falls, IA",269,C'est La Vie,44,Aleena Kirby
Gyptian,Aleena,F,25,Kirby,211.04281,paid,"Waterloo-Cedar Falls, IA",269,Love Against the Wall,44,Aleena Kirby
The Ataris,Aleena,F,26,Kirby,179.722,paid,"Waterloo-Cedar Falls, IA",269,I Won't Spend Another Night Alone,44,Aleena Kirby
Adam Green,Aleena,F,27,Kirby,143.49016,paid,"Waterloo-Cedar Falls, IA",269,You Get So Lucky,44,Aleena Kirby
Marilyn Manson,Aleena,F,28,Kirby,247.01342000000002,paid,"Waterloo-Cedar Falls, IA",269,Personal Jesus,44,Aleena Kirby
Bobby Blue Bland,Aleena,F,29,Kirby,141.13914,paid,"Waterloo-Cedar Falls, IA",269,I Pity the Fool,44,Aleena Kirby
David Banner,Aleena,F,30,Kirby,232.75057,paid,"Waterloo-Cedar Falls, IA",269,Play,44,Aleena Kirby
We The Kings featuring Demi Lovato,Aleena,F,31,Kirby,231.78404,paid,"Waterloo-Cedar Falls, IA",269,We'll Be A Dream (featuring Demi Lovato),44,Aleena Kirby
Emiliana Torrini,Aleena,F,32,Kirby,383.50322,paid,"Waterloo-Cedar Falls, IA",269,Birds,44,Aleena Kirby
Garbage,Shakira,F,0,Hunt,277.39383,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",83,Temptation Waits,84,Shakira Hunt
Linkin Park,Aleena,F,33,Kirby,268.61669,paid,"Waterloo-Cedar Falls, IA",269,New Divide (Album Version),44,Aleena Kirby
Darius Rucker,Shakira,F,1,Hunt,217.44281,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",83,It Won't Be Like This For Long,84,Shakira Hunt
The Strokes,Shakira,F,2,Hunt,230.1122,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",83,Killing Lies,84,Shakira Hunt
Los Bunkers,Aleena,F,34,Kirby,209.97179,paid,"Waterloo-Cedar Falls, IA",269,Te Vistes Y Te Vas,44,Aleena Kirby
Ween,Aleena,F,36,Kirby,242.59873,paid,"Waterloo-Cedar Falls, IA",269,I'm Holding You (LP Version),44,Aleena Kirby
"Weird Al"" Yankovic",Shakira,F,3,Hunt,170.21341999999999,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",83,"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire featuring Krayzie Bone)",84,Shakira Hunt
The Moody Blues,Shakira,F,4,Hunt,258.71628,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",83,Tuesday Afternoon,84,Shakira Hunt
DESTRUCTION,Aleena,F,37,Kirby,226.97751,paid,"Waterloo-Cedar Falls, IA",269,Dictators Of Cruelty,44,Aleena Kirby
Carla Bruni,Aleena,F,38,Kirby,163.02975,paid,"Waterloo-Cedar Falls, IA",269,Quelqu'un M'a Dit (Album Version),44,Aleena Kirby
En Vogue,Aleena,F,39,Kirby,289.01832,paid,"Waterloo-Cedar Falls, IA",269,Don't Let Go (Love),44,Aleena Kirby
Eminem,Aleena,F,40,Kirby,250.8273,paid,"Waterloo-Cedar Falls, IA",269,Mockingbird,44,Aleena Kirby
Showbread,Aleena,F,45,Kirby,287.29424,paid,"Waterloo-Cedar Falls, IA",269,The Missing Wife,44,Aleena Kirby
Tracie Spencer,Aleena,F,46,Kirby,272.45669,paid,"Waterloo-Cedar Falls, IA",269,My First Broken Heart,44,Aleena Kirby
BeyoncÃÂ©,Aleena,F,47,Kirby,261.74649,paid,"Waterloo-Cedar Falls, IA",269,Halo,44,Aleena Kirby
Jack Johnson,Aleena,F,48,Kirby,207.64688999999998,paid,"Waterloo-Cedar Falls, IA",269,Better Together,44,Aleena Kirby
Michael BublÃÂ©,Aleena,F,49,Kirby,226.0371,paid,"Waterloo-Cedar Falls, IA",269,Smile (Live),44,Aleena Kirby
Epica,Aleena,F,50,Kirby,303.20281,paid,"Waterloo-Cedar Falls, IA",269,Martyr of the Free Word,44,Aleena Kirby
A Silent Film,Aleena,F,51,Kirby,222.45832000000001,paid,"Waterloo-Cedar Falls, IA",269,You Will Leave a Mark,44,Aleena Kirby
BjÃÂ¶rk,Aleena,F,52,Kirby,348.57751,paid,"Waterloo-Cedar Falls, IA",269,Undo,44,Aleena Kirby
Vampire Weekend,Aleena,F,53,Kirby,214.7522,paid,"Waterloo-Cedar Falls, IA",269,Cape Cod Kwassa Kwassa (Album),44,Aleena Kirby
Rammstein,Aleena,F,54,Kirby,201.50812,paid,"Waterloo-Cedar Falls, IA",269,BÃÂ¼ck Dich,44,Aleena Kirby
Junkie XL,Aleena,F,55,Kirby,221.77913999999998,paid,"Waterloo-Cedar Falls, IA",269,Broken (featuring Grant Nicholas) (Album Version),44,Aleena Kirby
Third Eye Blind,Aleena,F,56,Kirby,232.77669,paid,"Waterloo-Cedar Falls, IA",269,Company,44,Aleena Kirby
Evanescence,Aleena,F,57,Kirby,236.12036,paid,"Waterloo-Cedar Falls, IA",269,Bring Me To Life,44,Aleena Kirby
Jack Johnson,Aleena,F,58,Kirby,65.80199999999999,paid,"Waterloo-Cedar Falls, IA",269,Cupid,44,Aleena Kirby
Fergie,Aleena,F,59,Kirby,240.48281,paid,"Waterloo-Cedar Falls, IA",269,Clumsy,44,Aleena Kirby
Lily Allen,Aleena,F,61,Kirby,189.98812,paid,"Waterloo-Cedar Falls, IA",269,LDN,44,Aleena Kirby
The Black Seeds,Aleena,F,62,Kirby,257.98485,paid,"Waterloo-Cedar Falls, IA",269,Dance Dance,44,Aleena Kirby
Cassie,Aleena,F,63,Kirby,212.1922,paid,"Waterloo-Cedar Falls, IA",269,Call U Out (Album Version),44,Aleena Kirby
The Rolling Stones,Aleena,F,64,Kirby,231.78404,paid,"Waterloo-Cedar Falls, IA",269,Too Tough (1994 Digital Remaster),44,Aleena Kirby
Eminem,Aleena,F,65,Kirby,251.55872999999997,paid,"Waterloo-Cedar Falls, IA",269,Without Me,44,Aleena Kirby
Creedence Clearwater Revival,Aleena,F,66,Kirby,175.80363,paid,"Waterloo-Cedar Falls, IA",269,Sweet Hitch-Hiker,44,Aleena Kirby
Heltah Skeltah,Aleena,F,67,Kirby,165.642,paid,"Waterloo-Cedar Falls, IA",269,Place To Be (Explicit),44,Aleena Kirby
Redman,Aleena,F,68,Kirby,251.53261,paid,"Waterloo-Cedar Falls, IA",269,Pick It Up,44,Aleena Kirby
Camila,Aleena,F,69,Kirby,258.53342000000004,paid,"Waterloo-Cedar Falls, IA",269,Alejate De Mi,44,Aleena Kirby
Pearl Jam,Ryan,M,1,Smith,67.44771,free,"San Jose-Sunnyvale-Santa Clara, CA",268,Encore Break,26,Ryan Smith
Faith No More,Ryan,M,2,Smith,249.86077000000003,free,"San Jose-Sunnyvale-Santa Clara, CA",268,Last Cup Of Sorrow,26,Ryan Smith
Liquid Tension Experiment,Aleena,F,70,Kirby,535.35302,paid,"Waterloo-Cedar Falls, IA",269,Paradigm Shift,44,Aleena Kirby
Fleetwood Mac,Aleena,F,71,Kirby,265.92607999999996,paid,"Waterloo-Cedar Falls, IA",269,World Turning (LP Version),44,Aleena Kirby
Creedence Clearwater Revival,Jayden,M,1,Bell,253.90975,free,"Dallas-Fort Worth-Arlington, TX",90,Midnight Special,91,Jayden Bell
The Ruts,Aleena,F,72,Kirby,338.96443999999997,paid,"Waterloo-Cedar Falls, IA",269,West One (Shine On Me),44,Aleena Kirby
Steve Miller Band,Jayden,M,2,Bell,263.96689,free,"Dallas-Fort Worth-Arlington, TX",90,The Joker,91,Jayden Bell
The Kingstonians,Lily,F,0,Burns,172.90403999999998,free,"New York-Newark-Jersey City, NY-NJ-PA",263,Winey Winey,32,Lily Burns
Staind,Aleena,F,73,Kirby,239.5424,paid,"Waterloo-Cedar Falls, IA",269,Everything Changes (Album Version),44,Aleena Kirby
Bon Jovi,Jayden,M,3,Bell,224.52200000000002,free,"Dallas-Fort Worth-Arlington, TX",90,It's My Life,91,Jayden Bell
Chris Brown featuring T-Pain,Aleena,F,74,Kirby,250.67057000000003,paid,"Waterloo-Cedar Falls, IA",269,Kiss Kiss,44,Aleena Kirby
Regina Spektor,Layla,F,0,Griffin,191.08526,paid,"Lake Havasu City-Kingman, AZ",23,The Calculation (Album Version),24,Layla Griffin
Lamb,Aleena,F,75,Kirby,1031.75791,paid,"Waterloo-Cedar Falls, IA",269,Feela,44,Aleena Kirby
Octopus Project,Layla,F,1,Griffin,250.95791,paid,"Lake Havasu City-Kingman, AZ",23,All Of The Champs That Ever Lived,24,Layla Griffin
Tegan And Sara,Layla,F,2,Griffin,180.06159,paid,"Lake Havasu City-Kingman, AZ",23,So Jealous,24,Layla Griffin
Dragonette,Layla,F,3,Griffin,153.39057,paid,"Lake Havasu City-Kingman, AZ",23,Okay Dolores,24,Layla Griffin
Lil Wayne / Eminem,Layla,F,4,Griffin,229.58975,paid,"Lake Havasu City-Kingman, AZ",23,Drop The World,24,Layla Griffin
Soulja Boy Tell'em,Layla,F,5,Griffin,201.11628000000002,paid,"Lake Havasu City-Kingman, AZ",23,Let Me Get Em,24,Layla Griffin
Audio Adrenaline,Kate,F,0,Harrell,202.52688999999998,paid,"Lansing-East Lansing, MI",147,Free Ride,97,Kate Harrell
